الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع التميز المؤسسي بالحصول على شهادات الآيزو,2021-05-05,575000.0
جامعة الامام محمد بن سعود الاسلامية,تشغيل وصيانة أعمال الري والزراعة في المدينة الجامعية,2022-09-29,18530000.0
هيئة الزكاة والدخل,إعادة هندسة عمليات التحصيل– لجميع أنواع الضرائب,2021-03-10,2999687.51
أمانة العاصمة المقدسة, صيانة الجسور بمكة المكرمة والمشاعر المقدسة .,2021-09-30,14920100.0
هيئة تقويم التعليم والتدريب,توريد هواتف رقمية والرخص التشغيلية ,2021-05-05,134550.0
ميناء جدة الاسلامي,تقديم الخدمات الهندسية الاستشارية لتصميم طريق يربط ميناء جدة الإسلامي بالمنطقة اللوجستية بالخمرة,2021-08-16,2932500.0
أمانة العاصمة المقدسة, صيانة ممرات المشاة بمكة المكرمة ,2021-08-22,10369665.0
صندوق التنمية الزراعية,مشروع إزالة وإعادة تطوير وتهيئة واجهات مبنى صندوق التنمية الزراعية (فرع الخرج),2021-02-25,431940.0
جامعة الجوف,تقديم خدمات المراجعة الخارجية لحسابات جامعة الجوف,2021-05-20,264500.0
جامعة طيبة,مشروع تامين برامج اكاديمية للتعليم عن بعد ,2021-11-02,1121057.39
جامعة أم القرى,تشغيل وصيانة مركز المحاكاة الطبي والمعامل التدريسية بكليات الطب بجامعة ام القرى ,2021-06-03,8579740.6
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,عقد تهيئة و تشغيل و صيانة أجهزة طبية بالمركز الطبي بالهيئه الملكيه بينبع,2021-11-10,1966500.0
جامعة الحدود الشمالية,ترقية ودعم وصيانة أنظمة إدارة المكتبات ,2021-07-08,330309.9
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات الصيانة لمصاعد شندلر,2021-10-11,443121.0
الشئون الصحية بمنطقة حائل,منافسة تطوير المراكز الصحية حسب الهوية الجديدة  (السمراء ,2021-07-01,5587099.05
أمانة العاصمة المقدسة, تشغيل وصيانة التشجير للشوارع والحدائق جنوب مكة المكرمة ,2021-09-30,21673682.0
المؤسسة العامة لتحلية المياه المالحة, مشروع إعادة تأهيل وحدات تكييف الهواء  للعماره رقم 316 الي  333  (18 عمارة) لسكن المرحلة الثالثة بالمجمع السكني لمحطات التحلية بالخبر,2021-09-07,6000048.0
هيئة تقويم التعليم والتدريب,تشغيل وصيانة ونظافة مباني هيئة تقويم التعليم والتدريب,2021-04-19,7951634.75
أمانة العاصمة المقدسة, تشغيل وصيانة الحدائق والساحات بمكة المكرمة ,2021-03-12,6496591.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,اصلاح وإعادة تأهيل الجسور الحرجة بمنطقة مكة المكرمة,2021-01-31,7099214.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل, توريد وتركيب وصيانة نظام البصمة بإدارة التعليم العام,2021-03-23,275000.0
أمانة العاصمة المقدسة, تشغيل وصيانة التشجير للشوارع والحدائق شرق مكة المكرمة ,2021-09-30,15931726.25
هيئة تقويم التعليم والتدريب,تقديم خدمات استشارية لبناء أدوات وتقويم المناهج وتطبيقها ,2021-06-03,1640958.0
صندوق التنمية الزراعية,مشروع تجديد إتفاقية الدعم الفني لشركة مايكروسوفت,2021-01-21,650000.0
الهيئة العامة للجمارك," توريد وتامين ""140"" وسيلة حية للمركز الوطني للوسائل الحية",2021-07-09,2398900.0
وزارة المالية  -  الديوان العام,توريد قسامات أحبار لمصلحة مطابع الحكومة,2021-01-31,241293.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع, مشروع استبدال وإضافة وحدات مناولة هواء وملحقاتها بالمركز الطبي بالهيئة الملكية بينبع.,2021-10-13,8469750.0
أمانة منطقة عسير,صيانة المباني والمرافق والمنشآت - جدارية دوار الملك فيصل ,2021-10-27,2301437.5
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,صيانة وإصلاح الأجهزة والمعدات الطبية لمركز سعود البابطين لطب وجراحة القلب بالدمام  والمواقع التابعة له بالمنطقة الشرقية (مركز الفحص الشامل ,2021-09-09,31122079.7
جامعة الملك سعود,عملية تأهيل مباني كلية السنة الاولي المشتركة بعليشة,2022-09-25,1142812.5
جامعة الملك سعود,النظافة والمكافحة بالمدينة الجامعية للطالبات بالدرعية  ومركز الدراسات الجامعية للطالبات بعليشة  ,2021-07-28,73466743.32
المركز السعودي للشراكات الاستراتيجية الدولية,منافسة إدارة البنية التحتية وخدمات إدارة تقنية المعلومات للمركز السعودي للشراكات الاستراتيجية الدولية لمدة 3 سنوات,2021-03-10,14793445.9
المجلس الصحي السعودي,توريد وتشغيل خدمة الإنترنت والإستضافة,2021-06-14,2575701.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,صيانة نظام التعليم الإلكتروني لإدارة التعليم العام,2021-02-18,898818.84
أمانة منطقة عسير,توريد مياة لأمانة منطقة عسير ,2021-08-16,4592088.0
هيئة تطوير منطقة المدينة المنورة,التأمين الطبي لموظفي هيئة تطوير منطقة المدينة المنورة 2021,2021-07-28,5199999.85
المركز السعودي للشراكات الاستراتيجية الدولية,توفير مركز عمليات واستجابة الأمن السيبراني المدارة لمدة 3 سنوات,2021-02-17,3033929.0
وزارة النقل والخدمات اللوجستية-  الديوان العام, اصلاح وإعادة تأهيل الجسور الحرجة بمنطقة الرياض ,2021-01-31,19662631.0
الهيئة العامة للمنشآت الصغيرة والمتوسطة,توفير نظام لإدارة المهام والاجتماعات للهيئة العامة للمنشآت الصغيرة والمتوسطة (منشآت),2021-09-06,953729.5
الهيئة العامة للمنشآت الصغيرة والمتوسطة,توريد وتشغيل نظام تجربة العميل لمراكز دعم المنشآت,2021-10-04,618093.95
المديرية العامة للشؤون الصحية بالمنطقة الباحة,تأمين رافعات شوكية للتموين الطبي بمستشفى الملك فهد بالباحة,2021-04-04,216200.0
إدارة التعليم بمنطقة الباحة,تأمين وتوريد وتركيب أثاث بيت الطالب بمنطقة الباحة,2021-08-15,2329283.02
وزارة الطاقة,توريد مطبوعات الوزارة,2021-02-17,330406.5
المؤسسة العامة لتحلية المياه المالحة,مشروع توريد خطوط انابيب نظام نقل المياه الخبر الهفوف – المرحلة الثانية,2021-11-01,432344575.0
أمانة المنطقة الشرقية,مشروع توريد لوازم زراعية2020م  ,2021-07-28,269100.0
المركز السعودي للشراكات الاستراتيجية الدولية,توفير التامين الطبي لمنسوبي المركز السعودي للشراكات الاستراتيجية الدولية,2021-01-28,8420070.0
أمانة منطقة القصيم,مشروع صيانة مبنى أرشيف وكالة التعمير بأمانة منطقة القصيم,2021-02-11,491730.0
المؤسسة العامة لتحلية المياه المالحة,مشروع نظام نقل المياه الخبر الهفوف – المرحلة الثانية,2021-11-01,747000000.0
وزارة الاستثمار,مبادرة إعداد الأرصدة الافتتاحية ومسك الحسابات لإعداد القوائم المالية لمشروع التحول الى المحاسبة المبنية على أساس الاستحقاق في وزارة الاستثمار,2021-07-14,1975987.0
دارة الملك عبدالعزيز,مشروع اعداد استراتيجية وتشغيل ادارة الاعلام الرقمي ,2021-03-08,3565759.0
وزارة الشئون البلدية والقروية والأسكان,توريد مواد وأجهزة مخبرية للادارة العامة للمختبرات البلدية بالوكالة,2021-08-26,5390370.85
جامعة الحدود الشمالية,تطوير ودعم وصيانة وتشغيل خدمات الأنظمة الأكاديمية,2021-05-19,5699211.31
الهيئة العامة للجمارك,عملية نظافة وتشغيل وصيانة مبنى إدارة جمرك مطار الطائف وملحقاته,2021-07-15,464863.0
الهيئة العامة للجمارك,عملية نظافة وصيانة وتشغيل مبنى إدارة جمرك مطار الملك عبدالعزيز الدولي  وملحقاته بجدة ,2021-08-11,1604104.95
جامعة الملك عبدالعزيز,اعمال ترميم و تأهيل أنظمة التكييف بمستودع الكيماويات بجامعة الملك عبد العزيز بجدة,2021-12-08,1642430.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,اصلاح وإعادة تأهيل الجسور الحرجة بمنطقة عسير,2021-04-11,10599308.5
وزارة الصحة  -  الديوان العام,توريد رخص البريد الالكتروني وبرامج المايكروسوفت ,2020-12-27,84066.95
الهيئة العامة للترفيه,مشروع الاحتفالات والفعاليات الداخلية للهيئة العامة للترفيه ,2021-02-15,2666349.75
مديرية الشؤون الصحية بالأحساء,استكمال الاعمال المتبقية لعملية إنشاء غرف النفايات الطبية والغير طبية لمستشفى الملك فيصل ومستشفى الأمير سعود بن جلوي بمحافظة الاحساء,2022-11-08,1488887.75
المركز السعودي للشراكات الاستراتيجية الدولية,اشتراك في منصة بروقرس ديجيتال ميديا ماركت لاين لمدة 3 سنوات  Progressive Digital Media MarketLine - Annual Subscription – MarketLine Advantage  ,2020-12-29,330000.0
المؤسسة العامة للخطوط الحديدية,توفير و تقديم خدمات الضيافة في صالات المحطات والقطارت لركاب الدرجة الاولى,2021-01-04,11744605.0
وزارة الرياضة,صيانة ونظافة وتشغيل القسم النسائي لوزارة الرياضة,2021-08-19,4500800.0
المجلس الصحي السعودي,توريد نظام الإتصال المرئي لقاعة الإجتماعات الرئيسية,2021-03-01,627789.6
دارة الملك عبدالعزيز,توريد وتركيب وتشغيل كاميرات مراقبة لمركز تاريخ مكة المكرمة (2),2021-03-09,57460.1
إدارة التعليم بمنطقة نجران,استكمال تجهيز استديو وقاعات مركز التعليم الابكتروني بتعليم نجران ,2022-01-25,562254.55
الهيئة السعودية للمواصفات والمقاييس والجودة,مشروع إعداد المحتوى والتصميم لحسابات جائزة الملك عبدالعزيز للجودة في مواقع التواصل الاجتماعية ,2021-02-24,611800.0
هيئة الرقابة النووية و الإشعاعية,توريد وتركيب وتدريب جهاز إنتاج النيتروجين السائل,2021-04-08,299000.0
جامعة الملك سعود,منافسة تقديم خدمات المختبرات المرجعية المرسلة خارجياً للتحاليل الطبية للجينات,2021-12-12,5499127.5
إدارة التعليم بمحافظة سراة عبيدة,فصول اضافية خشم عنقار,2021-08-30,1700000.0
الهيئة العامة للمنافسة,مشروع تشغيل مركز مراقبة الأمن السيبراني,2021-02-09,3996250.0
جامعة الملك عبدالعزيز,أعمال صيانة وتشغيل الأنظمة الأمنية وأنظمة السلامة و غرفة التشغيل الرئيسية بجامعة الملك عبدالعزيز بجدة,2021-11-01,7819425.0
جامعة الملك سعود,مشروع تدريس مهارات اللغة الإنجليزية لمسار الكليات الصحية عمادة السنة الأولى المشتركة – جامعة الملك سعود,2021-08-15,28986817.2
جامعة الملك سعود,مشروع تدريس مهارات اللغة الإنجليزية لمسار الكليات العلمية والهندسية عمادة السنة الأولى المشتركة – جامعة الملك سعود,2021-08-15,36671418.96
الهيئة السعودية للسياحة,تطبيق أنظمة تخطيط الموارد المؤسسية,2021-06-06,3150743.62
وزارة المالية  -  الديوان العام,مشروع توريد وتركيب قواطع زجاجية بمباني الوزارة بمخرج 9,2021-01-31,489946.0
وزاة التجارة,تجديد رخص برنامج كليك,2021-07-29,398151.38
مدينة الملك عبدالله للطاقة الذرية والمتجددة,توريد وتركيب شاشة جدارية LED بمقر مدينة الملك عبدالله للطاقة الذرية والمتجددة ,2021-04-11,521525.0
وزارة المالية  -  الديوان العام,نقل وإعادة بناء ودعم البيئة الاحتياطية لنظام تحصيل,2021-04-11,6784509.0
المديرية العامة للشؤون الصحية بمنطقة جازان,انشاء سور من الجهة الغربية لمركز الرعاية الأولية بعيبان بلغازي ,2021-11-09,199979.25
أمانة منطقة المدينة المنورة,استبدال أعمدة الإنارة التالفة بالمدينة المنورة,2022-05-23,5255500.0
إدارة التعليم بمحافظة الرس,تاهيل وتعديل الموقع العام لمبني قسم رعاية الموهوبين وقسم التدريب التربوي بنين,2021-06-30,1137800.0
مؤسسة البريد السعودي,تصميم وإنتاج فيديو اعلاني CGI,2021-07-19,1127000.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توحيد مراكز بيانات الهيئة الملكية للجبيل وينبع وترحيل تطبيقات الأجهزة الافتراضية وتطوير البنية التحتية,2021-11-10,8995694.45
الشئون الصحية بمحافظة بيشة,تطوير مركز صحي العطف,2021-10-21,1160707.65
الشئون الصحية بمحافظة بيشة,تطوير مركز صحي الحرف,2021-10-21,1160707.65
الشئون الصحية بمحافظة بيشة,تطوير مركز صحي الشداخه,2021-10-21,1264705.0
أمانة منطقة حائل,صيانة معدات,2022-02-28,273815.0
مدينة الملك سعود الطبية,تصميم وإعداد وثائق الطرح والمنافسة لمشروع إحلال مبنى العيادات الخارجية الملحقة بالبرج الطبي الثالث,2021-03-07,800000.0
الهيئة السعودية للسياحة,خدمات التامين الطبي لمنسوبي الهيئة السعودية للسياحة لعام 2021م ,2021-06-06,11488626.5
هيئة الزكاة والدخل,تصميم وتنفيذ تحسينات على أنظمة حلول الأعمال ,2021-03-10,14924700.0
الهيئة العامة للمنشآت الصغيرة والمتوسطة,التشغيل والتوريد التقني لمركز دعم المنشآت في محافظة جده,2021-02-16,881263.75
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار  DISTRIBUTED CONTROL SYSTEM PARTShoabaah plant,2021-05-21,507280.0
أمانة منطقة تبوك,مستلزمات أعمال صيانة الإضاءة بتبوك,2022-06-11,1262798.9
أمانة منطقة تبوك,صيانة الشوارع والأرصفة والإنارة (صيانة طريق الملك عبد العزيز أمام حي الروضة) بتبوك,2021-08-02,1317325.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار DCS رقم 1958562Shoabaah plant,2021-05-21,796145.0
المركز السعودى لكفاءة الطاقة,تجديد الرخص ضمن شبكة المركز السعودي لكفاءة الطاقة,2021-04-15,672420.0
إدارة التعليم بمحافظة القنفذة,توريد وتركيب وسائل الأمن والسلامة,2021-09-28,2362100.0
المؤسسة العامة لتحلية المياه المالحة,مشروع إنشاء محطة ضخ القوز وحلي,2021-08-18,23650000.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار محطه راس الخير FPD RFQ 1963183-2 Mech RAK,2021-07-24,1703520.0
وزاة التجارة,تطوير منصة التواصل الالكتروني,2021-07-29,481586.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد مواد الجودة والنوعية للمختبرات الطبية للهيئة الملكية بينبع,2021-07-26,386397.0
وزارة البيئة والمياه والزراعة,توريد وتركيب أجهزة طباعة بطاقات الموظفين لإدارة الأمن والسلامة,2021-02-14,238136.25
المؤسسة العامة لتحلية المياه المالحة,إعمار الأوناش الكهربائية بالمرحلة الثانية بمحطات الشعيبة ,2021-08-12,1700000.0
المؤسسة العامة لتحلية المياه المالحة,القيام باصلاح المضخات الرئيسية  في المرحلة الاولى والثانية بأنظمة نقل مياة الشقيق,2021-08-12,1427400.0
المركز الوطني للتنافسية,تنفيذ خطة التدريب والتطوير لموظفي المركز الوطني للتنافسية,2021-10-15,859418.0
الشئون الصحية بمحافظة جدة,الصيانة والنظافة والتشغيل الغير طبي لمستشفى اضم العام ,2022-05-30,59472165.49
وزارة النقل والخدمات اللوجستية-  الديوان العام,اصلاح وإعادة تأهيل الجسور الحرجة بمنطقة الباحة,2021-01-27,9420259.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,إصلاح وإعادة تأهيل الجسور الحرجة بمنطقة الشرقية,2021-06-18,19899531.0
المؤسسة العامة لتحلية المياه المالحة,مشروع تصميم و توريد وتركيب تورباين لأنظمة نقل مياه راس الخير -الرياض,2021-08-12,17600006.0
أمانة محافظة الطائف,صيانة وتشغيل تقنية المعلومات لأمانة محافظة الطائف والبلديات التابعة لها ,2021-08-18,18978050.58
الهيئة العامة للجمارك,مشروع استكمال الأسوار للمنطقة السكنية بحالة عمار,2021-09-02,2588075.0
الشؤؤن الصحية بمحافظة القنفذة,منافسة الأثاث الغير طبي لمستشفى نمرة,2021-02-24,213367.55
وزارة الاستثمار,إعادة تأهيل وتنظيم المواقف الغربية في مقر وزارة الاستثمار,2021-07-14,1499933.5
مدينة الملك فهد الطبية,مواد و مستهلكات الصيدلية 2020,2022-03-24,316861.8
المؤسسة العامة للخطوط الحديدية,تأمين وتركيب مختبر (معمل) لتحليل زيوت محركات القاطرات,2021-02-01,1223598.85
وزارة البيئة والمياه والزراعة,تشغيل وصيانة الحاسب الالي بالمديرية العامه لخدمات المياه بمنطقة مكة المكرمة (بمدينة جدة) والمحافظات التابعة لها بالمنطقة (القنفذة-الليث-العرضيات-أضم-رابغ-خليص-الكامل-رنيه-تربه-الخرمة-المويه-ميسان),2021-11-14,9000000.0
المؤسسة العامة لتحلية المياه المالحة, القيام بأعمال النظافة والزراعة ومكافحة الحشرات لمحطات التحلية بالساحل الغربي والمجمعات السكنية التابعة,2021-09-04,75665680.0
أمانة منطقة عسير,تأمين وتوريد قطع غيار معدات متنوعه تابعة للأمانة ,2021-12-16,4314110.0
الهيئة العامة للمنافسة,مشروع النظافة والتشغيل والصيانة لمبنى الهيئة العامة للمنافسة بالرياض ,2021-02-26,3199971.6
وزارة التعليم,تأمين بعض المستلزمات الخاصة للطباعة بمطبعة وزارة التعليم ,2021-06-06,490015.0
الجامعة الإسلامية بالمدينة المنورة,أعمال التشغيل والصيانة بالجامعة الاسلامية,2021-04-08,11314758.0
وزاة التجارة,توريد مياه شرب لوزارة التجارة وجميع فروعها في المملكة,2021-07-29,563440.87
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات مكافحة الحرائق ,2021-08-05,14958219.0
أمانة منطقة تبوك,صيانة وتشغيل المختبرات (تأمين المواد الكيميائية لتشغيل المختبر الرئيسي والمختبر المتنقل لإدارة صحة البيئة) بتبوك,2021-06-10,70252.35
أمانة منطقة عسير,صيانة اعمدة الإنارة م 3,2022-01-25,1726782.5
إدارة التعليم بمحافظة رجال ألمع,عملية ترميم بعض المكاتب وشبكة الكهرباء والصواعق والموقع العام بإدارة التعليم بمحافظة رجال المع .,2021-02-04,625887.5
صندوق التنمية الزراعية,توريد وتركيب وتشغيل مكيف مركزي نوع شيلر بسعة 240 طن,2021-01-21,586500.0
الهيئة العامة للغذاء والدواء,تنفيذ الاعمال الاستكمالية لتطوير منطقة الخدمات بالجهة الشرقية والشمالية لمجمع مختبرات الهئية بالميناء الجاف,2021-07-04,1848782.19
أمانة منطقة الحدود الشمالية,بشأن انشاء حديقة بقرية الخشيبى,2022-10-20,217373.0
المركز الوطني للتنافسية,تنفيذ مسح المنتدى الاقتصادي العالمي,2021-06-09,1688625.0
جامعة الأميرة نورة بنت عبدالرحمن,توريد وتركيب أجهزة ومستهلكات البنك الحيوي في مركز أبحاث العلوم الصحية بجامعة الأميرة نورة بنت عبدالرحمن,2021-04-28,2288522.46
إدارة التعليم بمحافظة حفر الباطن,صيانة وإصلاح وتشغيل المصاعد الكهربائية بمبنى رقم ) 2 ) إدارة التعليم محافظة حفر الباطن,2021-03-09,231840.0
إدارة التعليم بمنطقة تبوك,عملية صيانة وإصلاح وتشغيل المباني الإدارية بإدارة التعليم بمنطقة تبوك مدة التنفيذ 12 شهر ميلادي ,2021-11-11,558900.0
صندوق التنمية السياحي,تقديم خدمة التأمين الطبي لمنسوبي صندوق التنمية السياحي وعوائلهم لعام 2021 م,2020-12-25,2999833.0
إدارة التعليم بمحافظة حفر الباطن,صيانة واصالح وتشغيل المصاعد الكهربائية بالمبنى رقم (1) بإدارة التعليم بحفرالباطن,2021-03-09,57960.0
الهيئة السعودية للملكية الفكرية,المساعدة في تنفيذ خدمات المراجعة الداخلية,2021-01-24,79250.0
المديرية العامة للشؤون الصحية بالمنطقة الباحة,مشروع تطوير عدد اربعة مراكز صحية -  مركز رغدان-لباحة - بني سار - وادي فيق بمنطقة الباحة,2021-03-25,6398577.0
المديرية العامة للشؤون الصحية بالمنطقة الباحة,مشروع انشاء جدار ساند لحماية الموقع العام لمستشفى الملك فهد بالباحة,2021-04-04,701410.3
المديرية العامة للشؤون الصحية بالمنطقة الباحة,توريد وتركيب وتشغيل أجهزة مكتبية لمستشفى المخواة الجديد بمنطقة الباحة ,2021-04-04,2327396.45
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,إعادة سفلتة ورصف الطرق (المتابعة رقم10) ,2022-06-09,5585180.85
المؤسسة العامة للري,مشروع نظافة ونقل وإزالة المخلفات الزراعية لفرع المؤسسة بمحافظة دومة الجندل,2021-01-10,5796000.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,"تقديم خدمات الصيانة لقسم السنترال، وقسم الإمداد والتموين وقسم الشؤون الأكاديمية والتدريب بمستشفى الملك فيصل التخصصي ومركز الأبحاث ""مؤسسة عامة"" فرع جدة",2021-02-10,6865825.68
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تحديث ونقل جهازي العلاج الإشعاعي ,2021-01-21,4987554.0
إدارة التعليم بمحافظة البكيرية,صيانة و إصلاح و تشغيل المباني التعليمية (بنين) بإدارة التعليم بالبكيرية,2021-06-08,2158678.8
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية لتطوير مركز الرعاية الصحية الأولية بالسقا حسب الهوية الجديد بعسير,2021-11-14,3618239.25
جامعة الباحة,نقل طالبات جامعة الباحة ,2021-09-09,21366753.21
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية مركز الرعاية الصحية الأولية بحي الموظفين حسب الهوية الجديدة بعسير,2021-11-14,2998027.0
الجامعة الإسلامية بالمدينة المنورة,توريد وتركيب الخوادم الهجينة,2021-03-10,4739851.5
جامعة القصيم,توريد مواد النظافة للمدينة الجامعية بجامعة القصيم,2021-05-02,1204222.5
إدارة التعليم بمحافظة رجال ألمع,عملية تأهيل الموقع العام لمجمع البنات بالشعبين لربط الصالة الرياضية المغلقة الخارجية بالمجمع,2023-03-12,499847.5
إدارة التعليم بمنطقة الباحة,صيانة الات التصوير بمدارس منطقة الباحة ( بنين - بنات ),2021-01-06,2736774.6
وزارة الصحة  -  الديوان العام,إحلال وتطوير شبكة المياه بمستشفى حوطة بني تميم,2021-08-21,5000000.0
المؤسسة العامة لتحلية المياه المالحة,إصلاح خرسانة الدور السفلي لمبنى التوربين لمحطات الخبر,2021-08-12,1674985.0
المؤسسة العامة لتحلية المياه المالحة,تركيب مرشحات مياه البحر لوحدات التحلية في المرحلة الثالثة,2021-11-01,1400000.0
جامعة الأمير سطام بن عبدالعزيز,تشغيل وصيانة ونظافة كلية المجتمع بنات بالخرج، وكلية الصيدلة بنات بالخرج، كلية العلوم الطبية التطبيقية بنات بالخرج ، كلية ادارة الاعمال بنات بالخرج، كلية هندسة وعلوم الحاسب الآلي بنات بالخرج ,2021-08-18,11852163.6
بلدية محافظة الجموم,صيانة مبنى المجلس البلدي لبلدية محافظة الجموم,2021-03-22,208583.55
وزارة الاتصالات وتقنية المعلومات  -  الديوان العام,تشغيل و إدارة مركز الاتصال الوطني آمر  (3) ,2021-12-15,119857286.65
أمانة محافظة الطائف,تنفيذ الساحات والميادين بمدينة الطائف – المرحلة الثانية,2021-09-22,1408839.7
أمانة محافظة الطائف,تنفيذ الساحات والميادين بمدينة الطائف – المرحلة الاولي,2021-09-19,3998533.9
وزارة المالية  -  الديوان العام,توريد ألواح الطباعة الجافة وألواح الشابلون لمصلحة مطابع الحكومة ,2021-01-31,402342.45
صندوق تنمية الموارد البشرية,برنامج أكاديمية هدف للقيادة – الدفعة الثانية,2021-12-27,34969908.79
أمانة منطقة تبوك,توريد نجيل طبيعي وورد واسمدة زراعية,2021-03-02,149913.89
جامعة الملك خالد,كراسة الشروط والمواصفات لمشروع تعزيز فعالية التعلم الإلكتروني بالجامعة,2021-08-12,785455.75
المؤسسة العامة للري,توريد وتركيب وتجديد رخص برنامج سبايدر إمباكت ( Spider Impact ) لمؤشرات قياس الأداء الرئيسية,2021-09-20,297562.5
المؤسسة العامة للري,تشغيل وصيانة نظام التحكم الآلي ومحطة الضخ وشبكة الري بفرع المؤسسة بمحافظة القطيف,2021-01-27,4561012.86
جامعة حفر الباطن,منافسة تشغيل وصيانة الحاسب الآلي بالمعامل والكليات بجامعة حفرالباطن وفروعها,2021-11-07,5456574.36
الهيئة العامة للجمارك,عملية نظافة وصيانة وتشغيل مباني الهيئة العامة للجمارك بالرياض والمرافق التابعة لها,2021-07-01,8345497.1
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب أجهزة ومعدات سمعية وبصرية وشاشات عرض ,2021-07-29,240048.7
إدارة التعليم بمحافظة حفر الباطن,تأهيل مدرسة زيدبن حارثه الابتدائية,2021-03-18,400217.25
مؤسسة البريد السعودي,مشروع تأمين مركبات ضد الغير / شامل نموذج ,2021-07-19,466267.5
جامعة جازان,تطوير المحتوى الرقمي بالجامعة ,2021-02-17,2582238.75
مستشفى الملك فيصل التخصصي ومركز الأبحاث,  توريد قطع غيار لأجهزة طبية متنوعه مستشفى الملك فيصل التخصصي الرياض,2022-01-25,1289235.4
أمانة منطقة حائل,مكاتب للمجلس البلدي,2022-02-28,187478.75
أمانة منطقة حائل,تجديد اشتراك مقيم وتم ,2021-06-30,15904.0
الهيئة العامة للترفيه,تجديد الدعم الفني لأجهزة الشبكة,2021-01-21,63887.1
الهيئة العامة للترفيه,تجديد وزيادة رخص ودعم أنظمة البنية التحتية لتقنية المعلومات.,2021-01-21,868841.18
أمانة منطقة تبوك,توريد نجيلة صناعي مع المواد اللاصقة,2021-03-02,25875.0
مؤسسة البريد السعودي,توريد وتجهيز متطلبات مركز التحكم والمراقبة بالمبنى الجديد,2021-07-19,3753687.4
جامعة الملك سعود,تأمين طلبية الأجهزة العلمية لكليات جامعة الملك سعود بالمدينة الجامعية للطالبات,2022-01-31,1200267.5
جامعة الملك سعود,عقد صيانة لجهاز المطبعة الرقمية المصغرة ريكس روتاري بروسي 900 للطباعة الملونة ,2021-08-25,103500.0
جامعة الملك سعود,إعادة تأهيل الطرق المتضررة بجامعة الملك سعود,2021-09-07,1390065.95
أمانة محافظة جدة,صيانة مصدات الامواج لبلدية محافظة القنفذة,2021-09-18,613640.0
المؤسسة العامة لتحلية المياه المالحة,القيام بأعمال النظافة والزراعة ومكافحة الحشرات لمحطات التحلية بالساحل الشرقي والمجمعات السكنية التابعة,2021-08-30,69613856.4
وزارة البيئة والمياه والزراعة,تأمين الحراسات الامنية لمركز حفظ الأصول بالخرج وادارة المختبرات جنوب الرياض,2021-02-04,8292420.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,تشغيل و صيانة الأجهزة التعليمية للكليات والمعاهد (متابعة 1),2021-06-23,6398863.4
أمانة محافظة جدة,صيانة الالعاب لبلدية محافظة القنفذة ,2021-09-18,1072881.0
جامعة حفر الباطن,تشغيل وصيانة مركز البيانات بعمادة الإتصالات وتقنية المعلومات,2021-11-07,8986680.0
أمانة محافظة جدة,صيانة الاحواض الزراعية بلدية محافظة القنفذة ,2021-09-18,1449977.5
هيئة تقويم التعليم والتدريب,إنشاء مركز رصد ومتابعة (قمرة),2021-04-19,2250432.7
وزارة الطاقة,توريد مستلزمات مكتبية متنوعة ,2021-03-07,672881.1
المؤسسة العامة لتحلية المياه المالحة,إنشاء خزان مياه مركز القوز ,2021-08-18,16840000.0
وزاة التجارة,تجديد رخص نظام ادارة الوثائق,2021-07-29,9200000.0
المديرية العامة للشؤن الصحية بالقصيم - المديرية العامة للشؤن الصحية بالقصيم,تامين احتياج المنطقة من بنود طبية لزوم عمليات الأسنان,2020-12-16,754305.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,  توريد قطع غيار وزيوت متنوعة للمركبات ومعدات النقل بمستشفى الملك فيصل التخصصي الرياض  ,2021-03-22,238406.5
أمانة منطقة تبوك,توريد مواد كيماوية لرش,2021-03-02,47955.0
بلدية محافظة النماص,(توريد خرسانة جاهزة ) لاعمال الصيانة الذاتية ,2022-04-25,1450000.0
