ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,121.60046592,58.12688378420036,124.17601658954176,121.60046592,121.60046592,-29.61764704507753,-29.61764704507753,-29.61764704507753,-24.988455936000005,-24.988455936000005,-24.988455936000005,-0.052395845224538724,-0.052395845224538724,-0.052395845224538724,-4.576795263852985,-4.576795263852985,-4.576795263852985,0.0,0.0,0.0,91.98281887492247
2024-01-02,121.5913348895832,56.43447568293737,122.55445907827773,121.5913348895832,121.5913348895832,-31.77456681458702,-31.77456681458702,-31.77456681458702,-24.988455936000005,-24.988455936000005,-24.988455936000005,-2.428576759604145,-2.428576759604145,-2.428576759604145,-4.3575341189828665,-4.3575341189828665,-4.3575341189828665,0.0,0.0,0.0,89.81676807499618
2024-01-03,121.58220385916638,62.75322613154523,128.79589796837524,121.58220385916638,121.58220385916638,-25.563781974390107,-25.563781974390107,-25.563781974390107,-24.988455936000005,-24.988455936000005,-24.988455936000005,3.4906018336882605,3.4906018336882605,3.4906018336882605,-4.065927872078367,-4.065927872078367,-4.065927872078367,0.0,0.0,0.0,96.01842188477627
2024-01-04,121.57307282874957,63.41090583949961,126.87277988302138,121.57307282874957,121.57307282874957,-26.56527796605329,-26.56527796605329,-26.56527796605329,-24.988455936000005,-24.988455936000005,-24.988455936000005,2.133274060809086,2.133274060809086,2.133274060809086,-3.7100960908623715,-3.7100960908623715,-3.7100960908623715,0.0,0.0,0.0,95.00779486269629
2024-01-05,121.56394179833276,58.60580152327043,121.64206831475857,121.56394179833276,121.56394179833276,-31.498337356741718,-31.498337356741718,-31.498337356741718,-24.988455936000005,-24.988455936000005,-24.988455936000005,-3.2106786480267226,-3.2106786480267226,-3.2106786480267226,-3.29920277271499,-3.29920277271499,-3.29920277271499,0.0,0.0,0.0,90.06560444159105
2024-01-06,121.55481076791595,60.610056903081215,124.52721160226405,121.55481076791595,121.55481076791595,-29.18844815484891,-29.18844815484891,-29.18844815484891,-24.988455936000005,-24.988455936000005,-24.988455936000005,-1.3568235823165176,-1.3568235823165176,-1.3568235823165176,-2.843168636532386,-2.843168636532386,-2.843168636532386,0.0,0.0,0.0,92.36636261306704
2024-01-07,121.54567973749914,63.375364783989525,127.14902940253424,121.54567973749914,121.54567973749914,-25.916227472807012,-25.916227472807012,-25.916227472807012,-24.988455936000005,-24.988455936000005,-24.988455936000005,1.4245989406718826,1.4245989406718826,1.4245989406718826,-2.3523704774788943,-2.3523704774788943,-2.3523704774788943,0.0,0.0,0.0,95.62945226469213
2024-01-08,121.53654870708233,65.36363801816272,125.32319055033354,121.53654870708233,121.53654870708233,-26.878188469719674,-26.878188469719674,-26.878188469719674,-24.988455936000005,-24.988455936000005,-24.988455936000005,-0.05239584521077173,-0.05239584521077173,-0.05239584521077173,-1.8373366885088953,-1.8373366885088953,-1.8373366885088953,0.0,0.0,0.0,94.65836023736266
2024-01-09,121.52741767666552,61.75456828870365,123.89566967744473,121.52741767666552,121.52741767666552,-28.725480727592075,-28.725480727592075,-28.725480727592075,-24.988455936000005,-24.988455936000005,-24.988455936000005,-2.4285767596015186,-2.4285767596015186,-2.4285767596015186,-1.3084480319905503,-1.3084480319905503,-1.3084480319905503,0.0,0.0,0.0,92.80193694907345
2024-01-10,121.51828664624868,67.95637796094019,130.50599842373407,121.51828664624868,121.51828664624868,-22.27350655675868,-22.27350655675868,-22.27350655675868,-24.988455936000005,-24.988455936000005,-24.988455936000005,3.490601833686709,3.490601833686709,3.490601833686709,-0.775652454445386,-0.775652454445386,-0.775652454445386,0.0,0.0,0.0,99.24478008949
