Date,Description,Amount,Category
2025-02-27,Netflix,147.63,Subscription
2025-02-17,eBay,68.0,Shopping
2025-05-08,Amazon,184.09,Shopping
2025-02-07,Netflix,152.22,Subscription
2025-01-21,Costco,70.24,Groceries
2025-01-30,Spotify,187.67,Subscription
2025-02-20,Amazon Prime,101.88,Subscription
2025-02-23,Spotify,180.49,Subscription
2025-03-21,Whole Foods,138.46,Groceries
2025-06-20,Walmart,20.21,Groceries
2025-01-15,Bus Ticket,56.56,Transport
2025-04-25,Costco,47.96,Groceries
2025-04-10,Amazon,118.82,Shopping
2025-02-25,Amazon Prime,111.06,Subscription
2025-03-04,Costco,123.19,Groceries
2025-06-07,Uber,181.2,Transport
2025-04-20,Netflix,166.8,Subscription
2025-05-10,Pizza Hut,113.89,Dining
2025-06-07,McDonald's,19.56,Dining
2025-04-14,Local Store,73.64,Shopping
2025-03-02,eBay,140.48,Shopping
2025-04-11,Whole Foods,47.63,Groceries
2025-03-22,Whole Foods,155.75,Groceries
2025-01-28,Starbucks,173.14,Dining
2025-02-10,Netflix,121.65,Subscription
2025-01-19,Pizza Hut,77.83,Dining
2025-05-15,Uber,40.3,Transport
2025-02-20,Netflix,155.21,Subscription
2025-05-24,Spotify,152.92,Subscription
2025-04-23,Uber,129.28,Transport
2025-04-11,Taxi,146.54,Transport
2025-02-21,Amazon,25.03,Shopping
2025-02-28,Taxi,35.48,Transport
2025-01-09,Costco,66.3,Groceries
2025-02-20,Amazon Prime,74.68,Subscription
2025-03-11,Spotify,124.96,Subscription
2025-01-07,Netflix,98.82,Subscription
2025-02-28,Amazon,82.58,Shopping
2025-03-07,Spotify,63.78,Subscription
2025-04-22,Local Store,171.94,Shopping
2025-06-19,Walmart,133.19,Groceries
2025-05-28,Costco,122.0,Groceries
2025-05-31,Bus Ticket,68.55,Transport
2025-04-12,Starbucks,158.86,Dining
2025-05-08,Netflix,115.14,Subscription
2025-01-21,Amazon Prime,45.6,Subscription
2025-04-13,Walmart,168.59,Groceries
2025-03-22,Amazon Prime,157.01,Subscription
2025-01-31,Uber,31.28,Transport
2025-01-05,Uber,188.35,Transport
2025-03-03,Pizza Hut,93.37,Dining
2025-05-14,Uber,110.36,Transport
2025-03-08,Amazon Prime,162.59,Subscription
2025-01-17,Spotify,135.26,Subscription
2025-02-27,Pizza Hut,164.97,Dining
2025-02-17,Bus Ticket,165.97,Transport
2025-06-30,Uber,101.73,Transport
2025-04-09,Netflix,127.2,Subscription
2025-06-12,Whole Foods,44.39,Groceries
2025-05-25,Walmart,153.4,Groceries
2025-04-08,Bus Ticket,172.86,Transport
2025-03-22,Uber,153.87,Transport
2025-03-21,Pizza Hut,167.34,Dining
2025-03-15,Bus Ticket,145.52,Transport
2025-01-04,Netflix,160.3,Subscription
2025-02-02,Uber,124.49,Transport
2025-05-04,McDonald's,44.23,Dining
2025-02-21,Whole Foods,82.88,Groceries
2025-01-14,Uber,91.87,Transport
2025-03-04,Costco,183.02,Groceries
2025-04-15,Local Store,117.79,Shopping
2025-04-28,eBay,17.0,Shopping
2025-01-20,Amazon Prime,171.54,Subscription
2025-02-27,Bus Ticket,44.3,Transport
2025-05-10,McDonald's,184.24,Dining
2025-04-21,Amazon,110.51,Shopping
2025-03-24,Costco,73.45,Groceries
2025-06-22,Taxi,139.49,Transport
2025-02-26,Taxi,66.42,Transport
2025-03-23,Costco,14.14,Groceries
2025-04-05,eBay,184.9,Shopping
2025-02-27,Bus Ticket,75.81,Transport
2025-05-05,Taxi,162.45,Transport
2025-06-22,Amazon Prime,144.66,Subscription
2025-01-24,Amazon,138.77,Shopping
2025-05-25,Local Store,47.98,Shopping
2025-03-10,Taxi,196.0,Transport
2025-03-05,Taxi,51.04,Transport
2025-02-10,Taxi,160.74,Transport
2025-02-02,Starbucks,14.96,Dining
2025-03-08,Local Store,129.86,Shopping
2025-06-10,Costco,100.2,Groceries
2025-05-30,Bus Ticket,43.62,Transport
2025-04-23,Amazon Prime,54.38,Subscription
2025-05-30,Bus Ticket,21.84,Transport
2025-06-18,Taxi,118.77,Transport
2025-04-11,Uber,65.44,Transport
2025-06-26,Amazon,16.39,Shopping
2025-04-04,Local Store,73.48,Shopping
2025-02-23,Amazon,13.34,Shopping
