Date,Description,Amount,Category
2024-05-02,McDonald's,49.92,Dining
2025-06-11,McDonald's,30.94,Dining
2025-04-20,Whole Foods,5.27,Groceries
2024-04-16,Costco,29.09,Groceries
2025-04-02,Starbucks,47.81,Dining
2024-02-02,Spotify,49.74,Subscription
2024-12-31,Amazon,33.58,Shopping
2024-04-01,Local Store,4.81,Shopping
2024-08-24,eBay,37.74,Shopping
2025-01-21,Taxi,28.28,Transport
2024-02-09,Amazon Prime,37.59,Subscription
2024-05-28,Amazon,30.72,Shopping
2024-08-03,eBay,21.9,Shopping
2024-07-12,Netflix,16.74,Subscription
2024-11-13,Local Store,12.86,Shopping
2024-07-25,Whole Foods,28.18,Groceries
2024-04-26,Local Store,4.77,Shopping
2024-04-15,McDonald's,24.85,Dining
2025-07-18,Uber,28.68,Transport
2025-05-12,Netflix,15.72,Subscription
2024-07-01,Local Store,4.45,Shopping
2024-11-01,Taxi,45.79,Transport
2024-06-19,Amazon,42.0,Shopping
2024-05-20,Costco,6.65,Groceries
2024-03-13,Taxi,13.89,Transport
2024-09-02,Spotify,29.2,Subscription
2024-04-14,Uber,23.16,Transport
2025-02-02,Uber,19.33,Transport
2024-06-15,Walmart,10.12,Groceries
2024-02-23,Walmart,48.39,Groceries
2024-12-29,Walmart,34.68,Groceries
2024-10-27,eBay,34.59,Shopping
2025-02-02,eBay,27.49,Shopping
2024-08-18,Local Store,43.13,Shopping
2025-01-12,Whole Foods,1.72,Groceries
2025-05-14,Amazon,32.31,Shopping
2024-03-26,Uber,3.62,Transport
2024-09-16,Taxi,47.37,Transport
2025-07-11,Uber,49.5,Transport
2024-02-09,Starbucks,14.45,Dining
2024-09-19,Bus Ticket,3.24,Transport
2024-11-03,Bus Ticket,27.71,Transport
2025-03-25,Bus Ticket,12.33,Transport
2024-04-03,Amazon,27.31,Shopping
2025-02-12,Costco,15.84,Groceries
2024-02-10,Uber,39.65,Transport
2024-08-18,Local Store,20.93,Shopping
2025-04-16,McDonald's,12.4,Dining
