Date,Description,Amount,Category
2024-01-01,Amazon,4.25,Shopping
2024-01-01,Pizza Hut,2.85,Dining
2024-01-01,Pizza Hut,1.41,Dining
2024-01-01,Uber,5.05,Transport
2024-01-01,Taxi,4.39,Transport
2024-01-01,Walmart,5.99,Groceries
2024-01-01,Taxi,6.02,Transport
2024-01-01,Amazon Prime,7.95,Subscription
2024-01-01,eBay,3.62,Shopping
2024-01-01,Whole Foods,1.65,Groceries
2024-01-01,Pizza Hut,1.08,Dining
2024-01-01,McDonald's,5.57,Dining
2024-01-01,Uber,5.3,Transport
2024-01-01,Amazon,6.49,Shopping
2024-01-01,Local Store,9.61,Shopping
2024-01-01,Uber,2.08,Transport
2024-01-01,Uber,9.63,Transport
2024-01-01,Amazon Prime,9.5,Subscription
2024-01-02,Starbucks,6.99,Dining
2024-01-02,Netflix,5.21,Subscription
2024-01-02,Whole Foods,1.44,Groceries
2024-01-02,Taxi,9.09,Transport
2024-01-02,Amazon Prime,7.88,Subscription
2024-01-02,Whole Foods,3.5,Groceries
2024-01-02,McDonald's,8.18,Dining
2024-01-02,Whole Foods,1.63,Groceries
2024-01-02,Costco,8.77,Groceries
2024-01-02,eBay,8.0,Shopping
2024-01-02,Starbucks,7.51,Dining
2024-01-02,eBay,8.63,Shopping
2024-01-03,Starbucks,7.4,Dining
2024-01-03,Whole Foods,5.23,Groceries
2024-01-03,Netflix,2.75,Subscription
2024-01-03,Pizza Hut,7.79,Dining
2024-01-03,Taxi,7.79,Transport
2024-01-03,Amazon,2.75,Shopping
2024-01-03,Uber,6.4,Transport
2024-01-03,Walmart,5.02,Groceries
2024-01-03,Local Store,2.57,Shopping
2024-01-03,eBay,5.84,Shopping
2024-01-03,Uber,5.8,Transport
2024-01-03,Whole Foods,3.73,Groceries
2024-01-03,Spotify,1.72,Subscription
2024-01-03,Pizza Hut,7.15,Dining
2024-01-03,Whole Foods,8.53,Groceries
2024-01-03,Starbucks,7.39,Dining
2024-01-03,Taxi,6.4,Transport
2024-01-03,Walmart,3.1,Groceries
2024-01-04,Local Store,9.63,Shopping
2024-01-04,Spotify,4.96,Subscription
2024-01-04,McDonald's,8.63,Dining
2024-01-04,Uber,1.79,Transport
2024-01-04,Spotify,6.96,Subscription
2024-01-04,Starbucks,8.23,Dining
2024-01-04,Netflix,7.03,Subscription
2024-01-04,McDonald's,5.66,Dining
2024-01-04,Taxi,2.2,Transport
2024-01-04,Starbucks,6.36,Dining
2024-01-04,Uber,1.57,Transport
2024-01-04,Amazon,3.1,Shopping
2024-01-04,Bus Ticket,4.06,Transport
2024-01-04,Walmart,8.01,Groceries
2024-01-04,Local Store,9.25,Shopping
2024-01-04,Amazon Prime,1.41,Subscription
2024-01-04,Costco,8.72,Groceries
2024-01-05,Whole Foods,6.59,Groceries
2024-01-05,Costco,6.89,Groceries
2024-01-05,Pizza Hut,2.77,Dining
2024-01-05,Netflix,8.52,Subscription
2024-01-05,Taxi,6.93,Transport
2024-01-05,Taxi,1.96,Transport
2024-01-05,Amazon,5.87,Shopping
2024-01-05,Spotify,7.67,Subscription
2024-01-05,Uber,1.99,Transport
2024-01-05,Amazon,9.43,Shopping
2024-01-05,eBay,1.74,Shopping
2024-01-05,Pizza Hut,6.72,Dining
2024-01-05,Bus Ticket,7.45,Transport
2024-01-05,Netflix,9.82,Subscription
2024-01-05,Walmart,1.88,Groceries
2024-01-05,McDonald's,1.8,Dining
2024-01-05,Starbucks,7.87,Dining
2024-01-05,Taxi,8.92,Transport
2024-01-05,Amazon Prime,7.08,Subscription
2024-01-05,Amazon,1.68,Shopping
2024-01-05,McDonald's,6.64,Dining
2024-01-05,Taxi,1.28,Transport
2024-01-05,McDonald's,2.49,Dining
2024-01-06,Walmart,6.39,Groceries
2024-01-06,Spotify,8.92,Subscription
2024-01-06,Amazon Prime,4.52,Subscription
2024-01-06,eBay,7.51,Shopping
2024-01-06,Uber,1.64,Transport
2024-01-06,McDonald's,1.55,Dining
2024-01-06,Amazon Prime,6.16,Subscription
2024-01-06,Local Store,8.02,Shopping
2024-01-06,eBay,4.59,Shopping
2024-01-06,Spotify,4.78,Subscription
2024-01-06,Local Store,8.64,Shopping
2024-01-06,Costco,6.02,Groceries
2024-01-06,McDonald's,6.86,Dining
2024-01-06,Local Store,4.98,Shopping
2024-01-06,Costco,7.6,Groceries
2024-01-06,eBay,6.06,Shopping
2024-01-06,Bus Ticket,4.92,Transport
