Date,Description,Amount,Category
2025-03-15,eBay,13.43,Shopping
2025-01-24,Pizza Hut,37.74,Dining
2025-03-12,Bus Ticket,44.23,Transport
2025-05-24,McDonald's,40.84,Dining
2025-02-25,Amazon,18.98,Shopping
2025-02-05,Walmart,40.05,Groceries
2025-04-08,Amazon Prime,73.3,Subscription
2025-05-30,Whole Foods,72.42,Groceries
2025-04-05,eBay,24.6,Shopping
2025-02-10,Walmart,30.66,Groceries
2025-04-24,Pizza Hut,35.85,Dining
2025-04-25,Amazon Prime,38.94,Subscription
2025-02-13,Netflix,86.01,Subscription
2025-02-05,Starbucks,72.44,Dining
2025-06-05,McDonald's,50.0,Dining
2025-06-16,Whole Foods,21.06,Groceries
2025-06-07,Amazon Prime,18.16,Subscription
2025-01-26,Netflix,56.0,Subscription
2025-01-29,McDonald's,75.49,Dining
2025-06-01,Uber,44.19,Transport
2025-05-01,eBay,16.84,Shopping
2025-05-11,Costco,72.39,Groceries
2025-03-22,Spotify,48.23,Subscription
2025-05-09,Spotify,17.71,Subscription
2025-04-13,Pizza Hut,82.9,Dining
2025-03-29,eBay,74.43,Shopping
2025-06-23,Netflix,35.4,Subscription
2025-06-15,Local Store,39.12,Shopping
2025-03-09,Spotify,48.11,Subscription
2025-06-17,Costco,92.48,Groceries
2025-05-12,Starbucks,83.85,Dining
2025-02-20,Local Store,27.62,Shopping
2025-01-28,Bus Ticket,76.54,Transport
2025-02-17,Pizza Hut,50.0,Dining
2025-06-13,Amazon Prime,19.5,Subscription
2025-02-05,eBay,79.12,Shopping
2025-06-04,Costco,25.17,Groceries
2025-01-16,Costco,13.82,Groceries
2025-06-26,Costco,44.3,Groceries
2025-05-02,Uber,63.86,Transport
2025-02-18,McDonald's,67.88,Dining
2025-03-20,Local Store,58.12,Shopping
2025-05-18,eBay,52.28,Shopping
2025-05-15,eBay,57.97,Shopping
2025-01-23,eBay,75.23,Shopping
2025-05-16,McDonald's,33.93,Dining
2025-02-11,Starbucks,43.03,Dining
2025-03-20,Uber,80.69,Transport
2025-01-06,Starbucks,85.59,Dining
2025-04-24,Spotify,76.74,Subscription
2025-04-16,Bus Ticket,83.73,Transport
2025-02-05,Pizza Hut,22.86,Dining
2025-01-21,McDonald's,25.87,Dining
2025-01-22,McDonald's,96.54,Dining
2025-03-31,Local Store,14.61,Shopping
2025-05-21,Walmart,54.14,Groceries
2025-01-16,Starbucks,54.16,Dining
2025-02-22,Amazon Prime,16.82,Subscription
2025-06-23,Costco,65.52,Groceries
2025-05-30,Taxi,42.13,Transport
2025-05-09,Pizza Hut,44.93,Dining
2025-05-04,Pizza Hut,39.33,Dining
2025-04-21,Uber,27.33,Transport
2025-04-13,eBay,67.12,Shopping
2025-01-29,Bus Ticket,25.27,Transport
2025-05-04,Uber,78.15,Transport
2025-03-19,Bus Ticket,40.11,Transport
2025-04-17,Amazon Prime,82.36,Subscription
2025-03-22,Whole Foods,32.57,Groceries
2025-06-11,Walmart,67.01,Groceries
2025-02-08,Amazon,44.34,Shopping
2025-06-16,Spotify,24.67,Subscription
2025-04-24,Whole Foods,28.67,Groceries
2025-06-29,Starbucks,72.0,Dining
2025-02-03,Starbucks,86.41,Dining
2025-04-04,Bus Ticket,67.88,Transport
2025-05-04,McDonald's,83.01,Dining
2025-05-22,Starbucks,92.53,Dining
2025-04-08,Local Store,66.19,Shopping
2025-01-24,Amazon Prime,63.73,Subscription
2025-02-08,Netflix,63.66,Subscription
2025-04-23,eBay,30.62,Shopping
2025-03-14,Amazon Prime,21.65,Subscription
2025-05-23,Spotify,93.11,Subscription
2025-01-24,Whole Foods,66.12,Groceries
2025-01-13,Pizza Hut,35.29,Dining
2025-06-17,Local Store,72.11,Shopping
2025-06-27,Costco,66.09,Groceries
2025-06-23,Amazon,57.37,Shopping
2025-06-10,Starbucks,31.06,Dining
2025-01-31,Local Store,38.46,Shopping
2025-03-31,Amazon,69.99,Shopping
2025-05-07,Local Store,24.17,Shopping
2025-02-23,Costco,54.32,Groceries
2025-03-04,Pizza Hut,23.79,Dining
2025-04-27,Bus Ticket,16.58,Transport
2025-03-18,Bus Ticket,26.72,Transport
2025-02-16,Local Store,64.77,Shopping
2025-02-15,Uber,47.66,Transport
2025-04-26,Amazon Prime,93.07,Subscription
