Date,Description,Amount,Category
2025-06-22,Whole Foods,156.14,Groceries
2025-01-15,Costco,86.83,Groceries
2025-05-18,Netflix,185.68,Subscription
2025-05-21,Uber,182.45,Transport
2025-06-22,Whole Foods,156.65,Groceries
2025-05-29,eBay,198.88,Shopping
2025-01-22,Uber,182.13,Transport
2025-03-26,Amazon,165.46,Shopping
2025-01-21,Starbucks,117.46,Dining
2025-06-19,Walmart,76.56,Groceries
2025-05-02,eBay,101.34,Shopping
2025-05-12,Amazon Prime,60.95,Subscription
2025-05-03,McDonald's,41.38,Dining
2025-03-15,Uber,188.99,Transport
2025-03-12,Local Store,121.33,Shopping
2025-03-23,Walmart,183.05,Groceries
2025-04-19,Starbucks,66.09,Dining
2025-06-03,Spotify,60.93,Subscription
2025-02-14,Amazon,147.41,Shopping
2025-02-17,Amazon,57.18,Shopping
2025-06-26,Netflix,123.37,Subscription
2025-06-13,Local Store,63.01,Shopping
2025-01-13,Whole Foods,157.74,Groceries
2025-04-24,Netflix,110.72,Subscription
2025-01-13,Spotify,189.04,Subscription
2025-02-27,Walmart,152.36,Groceries
2025-03-12,eBay,111.58,Shopping
2025-02-05,Walmart,122.08,Groceries
2025-03-24,Amazon,150.17,Shopping
2025-05-10,Whole Foods,80.92,Groceries
2025-06-22,Walmart,94.3,Groceries
2025-04-26,Amazon,148.74,Shopping
2025-02-14,Amazon,105.74,Shopping
2025-01-11,Local Store,174.36,Shopping
2025-01-08,Taxi,176.15,Transport
2025-01-02,Costco,137.17,Groceries
2025-04-05,Local Store,156.11,Shopping
2025-04-08,Pizza Hut,78.25,Dining
2025-04-01,Walmart,85.81,Groceries
2025-02-25,Amazon,80.14,Shopping
2025-02-08,Starbucks,197.65,Dining
2025-03-25,Whole Foods,176.27,Groceries
2025-03-26,eBay,141.08,Shopping
2025-03-29,Starbucks,81.25,Dining
2025-02-27,Spotify,191.15,Subscription
2025-04-07,eBay,168.34,Shopping
2025-06-01,Walmart,155.4,Groceries
2025-05-02,Amazon Prime,35.9,Subscription
2025-02-14,Whole Foods,13.69,Groceries
2025-06-02,Walmart,150.29,Groceries
2025-01-10,Amazon Prime,156.35,Subscription
2025-06-26,Netflix,13.22,Subscription
2025-06-19,eBay,24.04,Shopping
2025-05-05,Amazon,14.19,Shopping
2025-05-06,Uber,142.48,Transport
2025-06-01,eBay,111.3,Shopping
2025-06-08,Spotify,87.79,Subscription
2025-04-25,Starbucks,28.96,Dining
2025-02-13,Amazon,162.92,Shopping
2025-03-30,Walmart,72.69,Groceries
2025-04-07,Pizza Hut,199.55,Dining
2025-06-08,Pizza Hut,155.65,Dining
2025-03-28,Starbucks,194.82,Dining
2025-06-04,Taxi,188.78,Transport
2025-04-07,Netflix,84.25,Subscription
2025-02-01,Bus Ticket,106.07,Transport
2025-06-10,Starbucks,80.09,Dining
2025-05-30,Amazon,195.18,Shopping
2025-02-10,eBay,33.53,Shopping
2025-05-25,Starbucks,24.25,Dining
2025-03-02,Pizza Hut,151.68,Dining
2025-05-21,Whole Foods,161.33,Groceries
2025-06-23,Netflix,150.93,Subscription
2025-06-04,Pizza Hut,70.71,Dining
2025-05-10,Walmart,125.76,Groceries
2025-02-15,eBay,52.54,Shopping
2025-02-14,Amazon,55.67,Shopping
2025-04-29,Whole Foods,47.42,Groceries
2025-04-08,Uber,31.97,Transport
2025-05-01,Costco,96.68,Groceries
2025-02-08,Whole Foods,85.02,Groceries
2025-01-20,Pizza Hut,129.49,Dining
2025-01-28,Walmart,91.64,Groceries
2025-04-16,Amazon Prime,64.22,Subscription
2025-06-25,eBay,124.42,Shopping
2025-05-29,eBay,34.48,Shopping
2025-01-18,Whole Foods,31.14,Groceries
2025-03-16,Costco,73.1,Groceries
2025-03-20,Uber,185.39,Transport
2025-03-26,Taxi,117.61,Transport
2025-01-25,Taxi,25.03,Transport
2025-05-18,Amazon Prime,132.04,Subscription
2025-01-02,Bus Ticket,184.31,Transport
2025-05-11,Uber,29.13,Transport
2025-05-31,McDonald's,154.94,Dining
2025-01-08,Netflix,95.93,Subscription
2025-03-26,Uber,50.79,Transport
2025-06-29,Local Store,156.78,Shopping
2025-02-09,Taxi,189.07,Transport
2025-04-15,Costco,136.58,Groceries
