Date,Description,Amount,Category
2025-05-15,Spotify,70.74,Subscription
2025-03-03,Whole Foods,176.24,Groceries
2025-02-26,Costco,55.38,Groceries
2025-06-28,Uber,133.24,Transport
2025-05-20,Walmart,165.84,Groceries
2025-06-26,McDonald's,100.79,Dining
2025-03-18,Bus Ticket,38.37,Transport
2025-03-09,Amazon,114.86,Shopping
2025-03-30,Walmart,108.25,Groceries
2025-01-19,Amazon Prime,49.5,Subscription
2025-01-18,Walmart,108.12,Groceries
2025-03-08,Uber,30.12,Transport
2025-05-24,Amazon,37.15,Shopping
2025-01-17,Spotify,187.94,Subscription
2025-02-12,Netflix,113.54,Subscription
2025-05-06,Local Store,82.55,Shopping
2025-03-10,Amazon,121.28,Shopping
2025-04-10,Whole Foods,28.36,Groceries
2025-03-09,Uber,197.8,Transport
2025-02-24,Whole Foods,18.65,Groceries
2025-02-01,Amazon,138.25,Shopping
2025-05-10,Bus Ticket,71.65,Transport
2025-04-10,Spotify,70.13,Subscription
2025-01-17,Taxi,180.81,Transport
2025-02-08,Amazon Prime,159.72,Subscription
2025-05-17,Costco,135.55,Groceries
2025-04-12,Spotify,12.89,Subscription
2025-01-01,eBay,80.88,Shopping
2025-01-25,Costco,104.46,Groceries
2025-05-14,Bus Ticket,132.62,Transport
2025-01-27,Local Store,39.96,Shopping
2025-03-06,Bus Ticket,154.14,Transport
2025-05-26,Pizza Hut,92.21,Dining
2025-01-17,Uber,196.81,Transport
2025-04-22,Bus Ticket,15.47,Transport
2025-05-20,Bus Ticket,189.21,Transport
2025-05-18,Bus Ticket,34.54,Transport
2025-02-13,Amazon Prime,93.86,Subscription
2025-05-19,Whole Foods,98.56,Groceries
2025-02-16,Taxi,61.77,Transport
2025-01-13,Pizza Hut,45.92,Dining
2025-01-17,Uber,93.11,Transport
2025-06-20,Amazon Prime,22.4,Subscription
2025-01-18,Amazon,187.36,Shopping
2025-01-05,Costco,57.86,Groceries
2025-06-11,Costco,138.55,Groceries
2025-05-25,Amazon Prime,18.95,Subscription
2025-05-19,Bus Ticket,180.06,Transport
2025-03-31,Local Store,99.92,Shopping
2025-03-17,Costco,158.93,Groceries
2025-06-17,Local Store,189.47,Shopping
2025-05-05,Netflix,179.85,Subscription
2025-04-05,Amazon Prime,195.0,Subscription
2025-05-26,Walmart,85.82,Groceries
2025-03-31,Starbucks,43.8,Dining
2025-05-17,Spotify,118.72,Subscription
2025-04-27,Starbucks,95.24,Dining
2025-02-10,Walmart,151.07,Groceries
2025-06-21,Whole Foods,75.85,Groceries
2025-04-08,Amazon Prime,167.57,Subscription
2025-02-12,Local Store,20.17,Shopping
2025-03-02,Walmart,187.91,Groceries
2025-04-28,Amazon,42.37,Shopping
2025-05-31,Amazon Prime,145.45,Subscription
2025-01-13,eBay,148.03,Shopping
2025-02-12,Netflix,141.71,Subscription
2025-04-28,Amazon Prime,27.56,Subscription
2025-02-04,Costco,193.19,Groceries
2025-05-28,Pizza Hut,59.0,Dining
2025-03-11,Taxi,24.05,Transport
2025-01-03,Amazon,51.97,Shopping
2025-01-30,Whole Foods,82.83,Groceries
2025-03-21,eBay,133.01,Shopping
2025-04-06,Local Store,120.12,Shopping
2025-01-17,Pizza Hut,102.37,Dining
2025-02-28,Netflix,57.79,Subscription
2025-01-05,Whole Foods,184.75,Groceries
2025-03-05,Walmart,111.83,Groceries
2025-03-20,eBay,56.14,Shopping
2025-05-02,Netflix,136.27,Subscription
2025-06-21,Amazon,161.81,Shopping
2025-04-24,Amazon,149.22,Shopping
2025-03-06,Amazon,127.12,Shopping
2025-05-21,Amazon,74.45,Shopping
2025-04-05,Amazon Prime,12.71,Subscription
2025-06-11,Bus Ticket,160.56,Transport
2025-02-28,Walmart,157.1,Groceries
2025-06-22,Whole Foods,132.96,Groceries
2025-05-30,eBay,19.72,Shopping
2025-06-03,eBay,189.95,Shopping
2025-05-31,McDonald's,96.89,Dining
2025-05-31,Bus Ticket,69.31,Transport
2025-01-30,Whole Foods,166.42,Groceries
2025-05-10,Netflix,131.59,Subscription
2025-01-28,Whole Foods,130.38,Groceries
2025-05-28,Taxi,124.31,Transport
2025-02-16,Starbucks,178.88,Dining
2025-01-05,Amazon Prime,104.18,Subscription
2025-01-20,Taxi,48.68,Transport
2025-05-09,Walmart,14.4,Groceries
