Date,Description,Amount,Category
2024-01-01,McDonald's,3.9,Dining
2024-01-01,Spotify,1.32,Subscription
2024-01-01,Pizza Hut,8.63,Dining
2024-01-01,Amazon,3.71,Shopping
2024-01-01,Taxi,7.94,Transport
2024-01-01,Uber,4.3,Transport
2024-01-01,Local Store,1.51,Shopping
2024-01-01,Taxi,2.89,Transport
2024-01-01,Netflix,3.46,Subscription
2024-01-01,Starbucks,5.7,Dining
2024-01-01,Pizza Hut,8.46,Dining
2024-01-01,Local Store,4.79,Shopping
2024-01-01,Walmart,1.85,Groceries
2024-01-01,McDonald's,7.82,Dining
2024-01-01,eBay,2.16,Shopping
2024-01-01,Costco,7.1,Groceries
2024-01-01,Netflix,8.14,Subscription
2024-01-02,Uber,4.24,Transport
2024-01-02,McDonald's,4.5,Dining
2024-01-02,Amazon,1.48,Shopping
2024-01-02,Costco,3.46,Groceries
2024-01-02,Walmart,4.99,Groceries
2024-01-02,Pizza Hut,1.09,Dining
2024-01-02,Taxi,8.81,Transport
2024-01-02,McDonald's,3.12,Dining
2024-01-02,Pizza Hut,5.45,Dining
2024-01-02,Spotify,3.54,Subscription
2024-01-02,McDonald's,4.07,Dining
2024-01-02,Spotify,8.08,Subscription
2024-01-02,Amazon Prime,5.5,Subscription
2024-01-02,Walmart,6.04,Groceries
2024-01-02,Starbucks,8.22,Dining
2024-01-02,Uber,2.77,Transport
2024-01-02,Pizza Hut,4.33,Dining
2024-01-02,Local Store,1.36,Shopping
2024-01-02,Spotify,2.77,Subscription
2024-01-02,Costco,7.2,Groceries
2024-01-03,Amazon Prime,8.78,Subscription
2024-01-03,eBay,3.01,Shopping
2024-01-03,Local Store,5.41,Shopping
2024-01-03,Spotify,6.03,Subscription
2024-01-03,eBay,3.6,Shopping
2024-01-03,Netflix,7.55,Subscription
2024-01-03,Costco,5.5,Groceries
2024-01-03,Whole Foods,1.32,Groceries
2024-01-03,Costco,8.51,Groceries
2024-01-03,Amazon,6.96,Shopping
2024-01-03,Spotify,2.05,Subscription
2024-01-03,Costco,7.03,Groceries
2024-01-03,Amazon,6.83,Shopping
2024-01-03,Pizza Hut,3.53,Dining
2024-01-03,Spotify,8.77,Subscription
2024-01-03,Netflix,9.0,Subscription
2024-01-04,Costco,3.46,Groceries
2024-01-04,eBay,6.87,Shopping
2024-01-04,Bus Ticket,2.63,Transport
2024-01-04,Pizza Hut,3.11,Dining
2024-01-04,Amazon,1.2,Shopping
2024-01-04,eBay,4.94,Shopping
2024-01-04,Whole Foods,6.2,Groceries
2024-01-04,Taxi,2.13,Transport
2024-01-04,Starbucks,3.62,Dining
2024-01-04,Amazon,2.14,Shopping
2024-01-04,Pizza Hut,9.55,Dining
2024-01-04,McDonald's,3.79,Dining
2024-01-04,Whole Foods,7.98,Groceries
2024-01-04,Costco,7.74,Groceries
2024-01-04,Whole Foods,4.37,Groceries
2024-01-04,Amazon Prime,1.28,Subscription
2024-01-04,Whole Foods,5.42,Groceries
2024-01-04,Whole Foods,7.14,Groceries
2024-01-04,Starbucks,9.34,Dining
2024-01-04,Uber,4.85,Transport
2024-01-04,eBay,1.84,Shopping
2024-01-05,Uber,9.96,Transport
2024-01-05,Amazon Prime,7.79,Subscription
2024-01-05,Starbucks,9.43,Dining
2024-01-05,Whole Foods,4.15,Groceries
2024-01-05,Taxi,9.29,Transport
2024-01-05,Bus Ticket,5.76,Transport
2024-01-05,Pizza Hut,3.41,Dining
2024-01-05,Amazon Prime,3.58,Subscription
2024-01-05,Amazon Prime,7.85,Subscription
2024-01-05,Starbucks,5.01,Dining
2024-01-05,Whole Foods,4.64,Groceries
2024-01-05,McDonald's,7.65,Dining
2024-01-05,Local Store,6.58,Shopping
2024-01-05,Amazon Prime,6.81,Subscription
2024-01-05,Spotify,2.97,Subscription
2024-01-05,eBay,3.97,Shopping
2024-01-05,Amazon Prime,5.44,Subscription
2024-01-05,Amazon,7.84,Shopping
2024-01-05,Walmart,9.07,Groceries
2024-01-05,Pizza Hut,3.19,Dining
2024-01-05,Amazon Prime,4.15,Subscription
2024-01-05,Whole Foods,6.88,Groceries
2024-01-06,Pizza Hut,3.92,Dining
2024-01-06,Local Store,7.48,Shopping
2024-01-06,Bus Ticket,8.86,Transport
2024-01-06,Netflix,3.83,Subscription
2024-01-06,Walmart,2.28,Groceries
2024-01-06,Costco,8.53,Groceries
2024-01-06,Uber,7.81,Transport
2024-01-06,Costco,1.25,Groceries
2024-01-06,Netflix,7.32,Subscription
2024-01-06,Spotify,4.84,Subscription
2024-01-06,Starbucks,9.51,Dining
2024-01-06,Local Store,4.62,Shopping
2024-01-06,Amazon Prime,5.08,Subscription
2024-01-06,Pizza Hut,9.15,Dining
2024-01-06,Amazon Prime,4.23,Subscription
2024-01-07,Walmart,5.31,Groceries
2024-01-07,Costco,7.86,Groceries
