Date,Description,Amount,Category
2024-01-01,Starbucks,8.52,Dining
2024-01-01,McDonald's,5.51,Dining
2024-01-01,Costco,9.37,Groceries
2024-01-01,Walmart,5.33,Groceries
2024-01-01,Walmart,7.35,Groceries
2024-01-01,Local Store,3.31,Shopping
2024-01-01,Amazon,2.48,Shopping
2024-01-01,Walmart,9.4,Groceries
2024-01-01,McDonald's,7.86,Dining
2024-01-01,Starbucks,2.12,Dining
2024-01-02,Spotify,2.63,Subscription
2024-01-02,Starbucks,8.12,Dining
2024-01-02,Bus Ticket,3.4,Transport
2024-01-02,McDonald's,5.22,Dining
2024-01-02,Pizza Hut,8.82,Dining
2024-01-02,Netflix,9.97,Subscription
2024-01-02,eBay,5.38,Shopping
2024-01-02,Amazon,4.66,Shopping
2024-01-02,eBay,9.71,Shopping
2024-01-02,Amazon,5.28,Shopping
2024-01-02,Spotify,1.23,Subscription
2024-01-02,eBay,8.84,Shopping
2024-01-02,McDonald's,8.34,Dining
2024-01-02,Netflix,9.81,Subscription
2024-01-02,Taxi,3.19,Transport
2024-01-02,Costco,5.48,Groceries
2024-01-02,Netflix,5.13,Subscription
2024-01-02,Pizza Hut,4.65,Dining
2024-01-02,Taxi,3.87,Transport
2024-01-02,Walmart,7.91,Groceries
2024-01-02,Starbucks,5.12,Dining
2024-01-02,Local Store,7.25,Shopping
2024-01-02,Amazon,2.43,Shopping
2024-01-02,Pizza Hut,1.88,Dining
2024-01-02,eBay,3.54,Shopping
2024-01-03,eBay,4.93,Shopping
2024-01-03,Spotify,1.54,Subscription
2024-01-03,Walmart,2.21,Groceries
2024-01-03,Walmart,8.41,Groceries
2024-01-03,Spotify,8.79,Subscription
2024-01-03,Spotify,5.88,Subscription
2024-01-03,Spotify,1.3,Subscription
2024-01-03,Amazon Prime,2.43,Subscription
2024-01-03,Amazon Prime,1.38,Subscription
2024-01-03,Starbucks,3.99,Dining
2024-01-03,Amazon Prime,9.0,Subscription
2024-01-03,Taxi,8.56,Transport
2024-01-03,McDonald's,7.08,Dining
2024-01-03,Uber,7.58,Transport
2024-01-03,Whole Foods,9.26,Groceries
2024-01-03,eBay,7.5,Shopping
2024-01-03,McDonald's,2.15,Dining
2024-01-03,eBay,4.11,Shopping
2024-01-04,eBay,9.31,Shopping
2024-01-04,McDonald's,8.94,Dining
2024-01-04,Whole Foods,5.45,Groceries
2024-01-04,Amazon,3.77,Shopping
2024-01-04,Costco,3.92,Groceries
2024-01-04,Whole Foods,2.37,Groceries
2024-01-04,Spotify,4.29,Subscription
2024-01-04,McDonald's,2.96,Dining
2024-01-04,Whole Foods,3.23,Groceries
2024-01-04,Walmart,9.64,Groceries
2024-01-04,Taxi,9.76,Transport
2024-01-04,Bus Ticket,9.55,Transport
2024-01-04,McDonald's,5.51,Dining
2024-01-04,Netflix,3.68,Subscription
2024-01-04,eBay,5.8,Shopping
2024-01-04,Local Store,3.54,Shopping
2024-01-04,Local Store,7.93,Shopping
2024-01-05,Local Store,7.2,Shopping
2024-01-05,Amazon Prime,8.92,Subscription
2024-01-05,Costco,3.32,Groceries
2024-01-05,Spotify,9.36,Subscription
2024-01-05,Taxi,8.76,Transport
2024-01-05,Amazon,2.44,Shopping
2024-01-05,eBay,5.67,Shopping
2024-01-05,eBay,9.38,Shopping
2024-01-05,Amazon Prime,4.8,Subscription
2024-01-05,Taxi,3.83,Transport
2024-01-05,McDonald's,3.2,Dining
2024-01-05,Taxi,9.55,Transport
2024-01-06,Costco,8.06,Groceries
2024-01-06,eBay,9.83,Shopping
2024-01-06,Walmart,9.36,Groceries
2024-01-06,eBay,1.34,Shopping
2024-01-06,McDonald's,9.52,Dining
2024-01-06,McDonald's,3.93,Dining
2024-01-06,Pizza Hut,1.25,Dining
2024-01-06,Costco,1.8,Groceries
2024-01-06,Whole Foods,8.42,Groceries
2024-01-06,Starbucks,9.0,Dining
2024-01-06,Bus Ticket,5.63,Transport
2024-01-06,Walmart,3.03,Groceries
2024-01-07,Local Store,3.02,Shopping
2024-01-07,Costco,6.71,Groceries
2024-01-07,Taxi,8.48,Transport
2024-01-07,Costco,4.01,Groceries
2024-01-07,Starbucks,5.08,Dining
2024-01-07,Spotify,6.05,Subscription
2024-01-07,Walmart,7.97,Groceries
2024-01-07,eBay,3.21,Shopping
2024-01-07,Starbucks,5.99,Dining
2024-01-07,Amazon Prime,8.43,Subscription
2024-01-07,Walmart,3.55,Groceries
2024-01-07,Pizza Hut,5.67,Dining
2024-01-07,eBay,1.19,Shopping
2024-01-07,Starbucks,3.54,Dining
2024-01-07,Taxi,3.8,Transport
2024-01-07,Taxi,8.74,Transport
2024-01-07,Pizza Hut,2.54,Dining
2024-01-08,Pizza Hut,7.48,Dining
2024-01-08,Costco,6.45,Groceries
2024-01-08,Local Store,4.17,Shopping
2024-01-08,Netflix,8.99,Subscription
2024-01-08,Local Store,3.32,Shopping
2024-01-08,Taxi,4.37,Transport
2024-01-08,Whole Foods,4.07,Groceries
2024-01-08,Amazon,1.53,Shopping
2024-01-08,eBay,2.58,Shopping
2024-01-08,Uber,1.93,Transport
2024-01-08,Pizza Hut,3.73,Dining
2024-01-08,Amazon,8.49,Shopping
2024-01-08,Whole Foods,1.37,Groceries
2024-01-08,Starbucks,9.58,Dining
2024-01-08,Netflix,8.29,Subscription
2024-01-08,Walmart,6.08,Groceries
2024-01-08,eBay,2.02,Shopping
2024-01-08,Walmart,9.71,Groceries
2024-01-09,Spotify,5.91,Subscription
2024-01-09,Costco,5.59,Groceries
2024-01-09,Costco,7.84,Groceries
2024-01-09,Netflix,6.92,Subscription
2024-01-09,Netflix,2.25,Subscription
2024-01-09,Amazon Prime,2.81,Subscription
2024-01-09,Amazon Prime,3.39,Subscription
2024-01-09,Costco,7.86,Groceries
2024-01-09,Walmart,1.88,Groceries
2024-01-09,Costco,2.14,Groceries
2024-01-09,Uber,7.71,Transport
2024-01-09,Starbucks,4.63,Dining
2024-01-09,Netflix,6.4,Subscription
2024-01-09,Costco,9.36,Groceries
2024-01-09,Starbucks,3.06,Dining
2024-01-09,Walmart,7.9,Groceries
2024-01-09,Amazon,4.57,Shopping
2024-01-09,Costco,2.45,Groceries
2024-01-09,Uber,5.17,Transport
2024-01-10,Costco,7.18,Groceries
2024-01-10,Pizza Hut,2.89,Dining
2024-01-10,Spotify,8.54,Subscription
2024-01-10,Walmart,3.83,Groceries
2024-01-10,Netflix,6.99,Subscription
2024-01-10,Amazon,3.21,Shopping
2024-01-10,McDonald's,3.72,Dining
2024-01-10,Local Store,4.36,Shopping
2024-01-10,Costco,8.19,Groceries
2024-01-10,Taxi,6.79,Transport
2024-01-10,eBay,1.64,Shopping
2024-01-10,Amazon,8.31,Shopping
2024-01-10,Amazon,2.28,Shopping
2024-01-10,Taxi,6.17,Transport
2024-01-10,Whole Foods,9.43,Groceries
2024-01-10,Costco,1.78,Groceries
2024-01-10,Amazon Prime,8.25,Subscription
2024-01-10,Walmart,1.69,Groceries
2024-01-10,Amazon,5.26,Shopping
2024-01-11,eBay,7.92,Shopping
2024-01-11,Amazon,6.77,Shopping
2024-01-11,Whole Foods,1.41,Groceries
2024-01-11,eBay,9.68,Shopping
2024-01-11,Amazon,9.67,Shopping
2024-01-11,eBay,2.84,Shopping
2024-01-11,Netflix,4.06,Subscription
2024-01-11,Uber,4.89,Transport
2024-01-11,McDonald's,8.09,Dining
2024-01-11,eBay,5.24,Shopping
2024-01-11,Pizza Hut,6.06,Dining
2024-01-11,Amazon Prime,9.11,Subscription
2024-01-11,Starbucks,6.89,Dining
2024-01-11,Taxi,1.86,Transport
2024-01-11,Uber,4.84,Transport
2024-01-11,Uber,7.78,Transport
2024-01-11,Pizza Hut,8.53,Dining
2024-01-11,Amazon,6.05,Shopping
2024-01-12,Uber,7.17,Transport
2024-01-12,Pizza Hut,9.61,Dining
2024-01-12,Costco,6.99,Groceries
2024-01-12,Amazon,8.43,Shopping
2024-01-12,McDonald's,1.03,Dining
2024-01-12,Starbucks,4.47,Dining
2024-01-12,eBay,8.36,Shopping
2024-01-12,Costco,5.1,Groceries
2024-01-12,Pizza Hut,1.32,Dining
2024-01-12,eBay,1.93,Shopping
2024-01-12,Taxi,1.75,Transport
2024-01-12,Netflix,2.28,Subscription
2024-01-12,Netflix,3.17,Subscription
2024-01-12,Uber,2.83,Transport
2024-01-12,McDonald's,3.86,Dining
2024-01-12,Pizza Hut,5.21,Dining
2024-01-12,Local Store,3.29,Shopping
2024-01-12,Bus Ticket,1.65,Transport
2024-01-12,eBay,5.85,Shopping
2024-01-12,Amazon,9.1,Shopping
2024-01-12,Walmart,1.03,Groceries
2024-01-13,Starbucks,1.31,Dining
2024-01-13,Amazon Prime,4.68,Subscription
2024-01-13,Starbucks,8.13,Dining
2024-01-13,Bus Ticket,4.63,Transport
2024-01-13,Amazon,3.7,Shopping
2024-01-13,Local Store,6.68,Shopping
2024-01-13,Bus Ticket,9.73,Transport
2024-01-13,Pizza Hut,3.5,Dining
2024-01-13,Amazon,8.75,Shopping
2024-01-13,Netflix,4.72,Subscription
2024-01-13,Uber,5.13,Transport
2024-01-13,Spotify,3.06,Subscription
2024-01-14,McDonald's,9.36,Dining
2024-01-14,Taxi,3.27,Transport
2024-01-14,Amazon Prime,8.22,Subscription
2024-01-14,Costco,5.63,Groceries
2024-01-14,Netflix,5.72,Subscription
2024-01-14,Walmart,8.22,Groceries
2024-01-14,Taxi,3.49,Transport
2024-01-14,Amazon,9.36,Shopping
2024-01-14,Whole Foods,6.96,Groceries
2024-01-14,Local Store,2.44,Shopping
2024-01-14,Starbucks,6.19,Dining
2024-01-14,Costco,7.63,Groceries
2024-01-14,Walmart,8.06,Groceries
2024-01-14,Walmart,3.35,Groceries
2024-01-14,Walmart,6.45,Groceries
2024-01-14,Taxi,2.25,Transport
2024-01-14,Taxi,8.67,Transport
2024-01-14,Walmart,3.14,Groceries
2024-01-14,Amazon,4.07,Shopping
2024-01-14,Costco,6.57,Groceries
2024-01-14,McDonald's,7.35,Dining
2024-01-14,Costco,2.41,Groceries
2024-01-15,Bus Ticket,8.32,Transport
2024-01-15,McDonald's,6.74,Dining
2024-01-15,Walmart,6.11,Groceries
2024-01-15,Walmart,3.58,Groceries
2024-01-15,Taxi,1.53,Transport
2024-01-15,Local Store,5.04,Shopping
2024-01-15,Starbucks,1.81,Dining
2024-01-15,Local Store,3.74,Shopping
2024-01-15,Pizza Hut,4.41,Dining
2024-01-15,Spotify,8.93,Subscription
2024-01-15,Uber,6.77,Transport
2024-01-15,Amazon Prime,5.45,Subscription
2024-01-15,Starbucks,5.92,Dining
2024-01-15,Taxi,5.09,Transport
2024-01-15,Walmart,6.22,Groceries
2024-01-16,Walmart,9.68,Groceries
2024-01-16,Netflix,1.84,Subscription
2024-01-16,Walmart,9.1,Groceries
2024-01-16,Amazon Prime,1.28,Subscription
2024-01-16,Whole Foods,3.63,Groceries
2024-01-16,Starbucks,5.15,Dining
2024-01-16,Amazon,1.07,Shopping
2024-01-16,Spotify,7.67,Subscription
2024-01-16,Uber,1.67,Transport
2024-01-16,Bus Ticket,9.35,Transport
2024-01-16,Starbucks,8.9,Dining
2024-01-16,Pizza Hut,8.3,Dining
2024-01-16,Amazon Prime,8.83,Subscription
2024-01-16,Taxi,5.3,Transport
2024-01-17,Amazon,6.66,Shopping
2024-01-17,Taxi,6.52,Transport
2024-01-17,McDonald's,2.12,Dining
2024-01-17,Amazon Prime,2.85,Subscription
2024-01-17,Amazon Prime,3.36,Subscription
2024-01-17,Netflix,5.66,Subscription
2024-01-17,Amazon,5.77,Shopping
2024-01-17,Costco,8.48,Groceries
2024-01-17,Whole Foods,7.31,Groceries
2024-01-17,Uber,6.28,Transport
2024-01-17,Starbucks,4.2,Dining
2024-01-17,Walmart,1.24,Groceries
2024-01-17,McDonald's,6.3,Dining
2024-01-17,eBay,9.16,Shopping
2024-01-17,Amazon,6.53,Shopping
2024-01-17,Netflix,9.24,Subscription
2024-01-17,Local Store,9.97,Shopping
2024-01-17,McDonald's,4.68,Dining
2024-01-17,Netflix,9.6,Subscription
2024-01-18,Costco,2.68,Groceries
